Source Name,Type (News or CSO),"Regional Level (Regional, National, International)",NUTS (if applicable for regional offices),Description,Link,Independence Rating,Notes,Country,Wiki Source
Le Soir,News,National (Brussels),BE1,,https://www.lesoir.be/,Labeled as liberal and progressive with politically federalist leanings.,,Belgium,
Het Nieuwsblad,News,Regional (Vlaanderen),BE2,Tabloid,https://www.hln.be/,"The website, just like the paper edition, is characterised as populist, rather right wing, with a focus on local news, celebrity news and sensational articles.",,Belgium,
Het Laatste Nieuws,News,Regional (Vlaanderen),BE2,Tabloid,https://www.hln.be/,"Het Laatste Nieuws has grown from an extremely sensational newspaper (of a liberal purport) into a sensationalist, popular-populist newspaper with a special focus on 'the people in and behind the news'.",,Belgium,
Grenz-Echo,News,Regional (Eupen),BE3,"The only German language daily newspaper published in Eupen, Belgium, aimed at the German-speaking community and the neighbouring areas in the east of the country",https://www.grenzecho.net/50/sections/ostbelgien,"Calls itself a politically independent, tolerant and Christian daily.",,Belgium,
News BG,News,National (Sofia),BG4,,https://news.bg/,Labeled as conservative. ,,Bulgaria,
Baricada,News,National (Sofia),BG4,"Online portal run by a group of left-wing activists, journalists and intellectuals in several Eastern European countries. According to their own statements, they want to offer an alternative to right-wing conservative and right-wing liberal opinions and analyses, but also to conventional media. ",https://baricada.org/,Labeled as left-wing.,,Bulgaria,
Fakti,News,National (Sofia),BG4,,https://fakti.bg/,Labeled as liberal conservative. ,,Bulgaria,
E-Vestnik,News,National (Sofia),BG4,,https://e-vestnik.bg/,Very critical of the government. ,,Bulgaria,
Dnevnik,News,National (Sofia),BG4,"Dnevnik's main editorial line is that the state should intervene less, and that business should have more freedom.",https://www.dnevnik.bg/,Labeled as liberal-conservative. ,,Bulgaria,
Trud,News,"Both (Sofia, Plovdiv, Varna, Burgas, Ruse, Stara Zagora)",BG3; BG4,,https://trud.bg/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B8/,Labeled as pro-government. ,,Bulgaria,
Standart,News,National (Sofia),BG4,It has reportedly been financed by the politician and oligarch Delyan Peevski since 2011.,https://www.standartnews.com/,Has a pro-government stance. ,,Bulgaria,
Sega,News,National (Sofia),BG4,,https://www.segabg.com/,"Labeled as critical of the government. They describe themselves as ""as an independent quality newspaper.""",,Bulgaria,
Offnews,News,National (Sofia),BG4,,https://offnews.bg/,Labeled as critical of the government. ,,Bulgaria,
Kapital Daily,News,National (Sofia),BG4,,https://www.capital.bg/,Labeled as liberal.,,Bulgaria,
Blog euinside,Blog,National (Sofia),BG4,"Ran by the Bulgarian journalist Adelina Marini, who lives and works in the Croatian capital Zagreb. It focusses on political, economic and social developments related to the European Union and in particular Bulgaria and the Balkan states.",http://www.euinside.eu/,,,Bulgaria,
Deutsche Welle - Bulgaria,News,National (Bonn),BG4,Bulgarian service of the German Deutsche Welle.,https://www.dw.com/bg/blgaria/t-19378910,Labeled as liberal-conservative.,,Bulgaria,
Club Z,News,National (Sofia),BG4,,https://clubz.bg/,Labeled as liberal-conservative.,,Bulgaria,
24 Hours,News,National (Sofia),BG4,Tabloid,https://www.24chasa.bg/,It's frequently accused of exploiting its influence for political purposes.,,Bulgaria,
Webcafé,News,National (Sofia),BG4,,http://www.webcafe.bg/,Labeled as centre-left.,,Bulgaria,
Zov News,News,Regional (Northwestern),BG3 ,,https://zovnews.com/,,,Bulgaria,
Actualno,News,Both (covers 27 regions),BG3; BG4,,https://www.actualno.com/regional,,,Bulgaria,
Dunav  Most,News,Regional (Ruse),BG3,,https://www.dunavmost.com/,,,Bulgaria,
Razgrad News,News,Regional (Razgrad),BG3,,https://razgradnews.net/,,,Bulgaria,
Bulgarian National Television,News,National (Sofia),BG4,,https://bnt.bg/en,,,Bulgaria,
Veliko Tarnovo Municipality,News,Regional (Veliko Tarnovo),BG3,,https://veliko-tarnovo.bg/bg/,,,Bulgaria,
Dialogos,News,National (Nicosia),CY0,,https://dialogos.com.cy/,Labeled as left-wing.,,Cyprus,
Havadis,News,Regional (North Cypriot),CY0,,https://www.havadiskibris.com/,,,Cyprus,
Kibris Postasi,News,National (Nicosia),CY0,,https://www.kibrispostasi.com/,,,Cyprus,
Simerini,News,National (Nicosia),CY0,,https://simerini.sigmalive.com/,Labeled as conservative and often critical of the government.,,Cyprus,
Politis,News,National (Nicosia),CY0,,https://politis.com.cy/,Labeled as liberal.,,Cyprus,
Phileleftheros,News,National (Nicosia),CY0,,https://www.philenews.com/,Labeled as liberal.,,Cyprus,
Kathimerini,News,National (Nicosia),CY0,,https://www.kathimerini.com.cy/gr/,Labeled as conservative.,,Cyprus,
Kibris,News,Regional (Nicosia),CY0,Founded in 1989 by the Turkish Cypriot businessman Asil Nadir whose Kıbrıs Media Group also owns a radio station and television channel. His publications have supported various political parties in the unrecognised Repulic of Northern Cyprus. Kıbrıs himself was sentenced to ten years in prison in 2012 for embezzling millions from the British conglomerate Polly Peck.,https://www.kibrisgazetesi.com/,,,Cyprus,
Haravgi,News,National (Nicosia),CY0,Mouthpiece of the Cyprus communist party Akel.,https://dialogos.com.cy/haravgi/,Labeled as left-wing.,,Cyprus,
Cyprus Weekly,News,National (Nicosia),CY0,English language paper.,https://in-cyprus.philenews.com/,Labeled as liberal.,,Cyprus,
Cyprus Mail,News,National (Nicosia),CY0,,https://cyprus-mail.com/,Labeled as liberal.,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
,,,,,,,,Cyprus,
https://www.bbc.com/news/world-europe-17205118,,,,,,,,Cyprus,
https://www.eurotopics.net/en/142186/media?search=&country=146382&language=0&art=0&circulation=0&typ=1#results,,,,,,,,Cyprus,
Novinky,News,National ,,,https://www.novinky.cz/,,,Czechia,
Seznam Zprávy,News,National ,,,https://www.seznamzpravy.cz/,Labeled as liberal.,,Czechia,
Denik N,News,National (Prague),,,https://denikn.cz/,"The content is characterized by its political independence, but when in doubt is more liberal and critical of the government.",,Czechia,
Metro,News,Regional (Prague),,,http://www.metro.cz/,Labeled as liberal. It has been part of the Agrofert group of the incumbent Czech Prime Minister Andrej Babiš since 2019. It is currently managed by a trust fund that the head of government has set up for the entire Agrofert Group in order to dispel allegations of a conflict of interest.,,Czechia,
Denik,News,Regional (covers all NUTS),,,https://www.denik.cz/,Labeled as liberal and it's published in 73 regional variations.,,Czechia,
Týden,News,National (Prague),,,https://www.tyden.cz/,Labeled as liberal.,,Czechia,
Respekt,News,National (Prague),,,https://www.respekt.cz/,Labeled as liberal.,,Czechia,
Reflex ,News,National (Prague),,,https://www.reflex.cz/,Labeled as liberal.,,Czechia,
Právo,News,National (Prague),,,https://www.pravo.cz/,Decidedly left-wing and closely aligned with the social democrats. Digital version is behind a paywall.,,Czechia,
Mladá fronta dnes,News,Regional (covers all NUTS),,,https://www.idnes.cz/kraje,"Labeled as liberal, it has 14 local editing departments with their own local sections. ",,Czechia,
Landesecho,News,National (Prague),,,http://landesecho.cz/,Labeled as liberal. It is a German-language monthly magazine aimed at the Czech Republic's ethnic German minority.,,Czechia,
Hospodářské noviny,News,National (Prague),,,https://hn.cz/,Labeled as liberal. ,,Czechia,
Echo24,News,National (Prague),,,https://www.echo24.cz/,Labeled as liberal-conservative.,,Czechia,
Aktuálně.cz,News,National (Prague),,,https://www.aktualne.cz/,Labeled as centre-left.,,Czechia,
Lidové noviny,News,National (Prague),,,https://www.lidovky.cz/,Labeled as conservative.,,Czechia,
Český rozhlas,News,National (Prague),,,https://portal.rozhlas.cz/,Marked as having good reputation thanks to its objectivity.,,Czechia,
České Noviny,News,National (Prague),,,https://www.ceskenoviny.cz/,,,Czechia,
Neviditelny Pes,News,National,,,https://neviditelnypes.lidovky.cz/,,,Czechia,
The Prague Post,News,National (Prague),,,https://www.praguepost.com/#,,,Czechia,
Neues Deutschland,News,National (Berlin),DE3,,https://www.nd-aktuell.de/,Labeled as left-wing.,,Germany,
Augsburger Allgemeine,News,"Regional (Aichach, Ammersee, Augsburg-Stadt, Dillingen, Donauworth, Friedberg, Illertissen, Krumbach, Landsberg, Mindelheim, Neu-Ulm, Neuburg, Nordlingen, Schwabmunchen, Wertingen)",DE2,,https://www.augsburger-allgemeine.de/,,,Germany,
Saarbrücker Zeitung,News,Regional (Saarland),DEC,,https://www.saarbruecker-zeitung.de/,,,Germany,
Westfalen-Blatt,News,Regional (Bielefeld),DEA,,https://www.westfalen-blatt.de/,,,Germany,
Deutsche Welle,News,National (Bonn),DEA,,https://www.dw.com/en/germany/s-1432,,,Germany,
Stuttgarter Nachrichten,News,Regional (Stuttgart),DE1,,https://www.stuttgarter-nachrichten.de/,,,Germany,
Westfälische Nachrichten,News,Regional (Münster),DEA,,https://www.wn.de/,"Labeled as conservative, it has 15 different local editions.",,Germany,
Die Zeit,News,National (Berlin),DE3,,https://www.zeit.de/index,Labeled as liberal.,,Germany,
Welt am Sonntag,News,National (Berlin),DE3,,https://www.welt.de/,Labeled as conservative.,,Germany,
Tagesschau.de,News,National (Hamburg),DE6,,https://www.tagesschau.de/,,,Germany,
Stuttgarter Zeitung,News,Regional (Stuttgart),DE1,,https://www.stuttgarter-zeitung.de/,Labeled as liberal.,,Germany,
Stern,News,National (Hamburg),DE6,,https://www.stern.de/,,,Germany,
Spiegel Online,News,National (Hamburg),DE6,,https://www.spiegel.de/,Labeled as centre-left.,,Germany,
Frankfurter Rundschau,News,"National (Frankfurt, Wetteraukreis, Main-Kinzig, Hochtaunuskreis, Main-Taunus, Wiesbaden, Mainz, Offenbach, Darmstadt-Dieburg, Groß-Gerau, Darmstadt (independent city), Offenbach (independent city))",DE7; DEB,,https://www.fr.de/,Labeled as centre-left.,,Germany,
Frankfurter Allgemeine Sonntagszeitung,News,National (Frankfurt),DE7,,https://www.faz.net/aktuell/,Labeled as conservative.,,Germany,
Focus,News,National (Munich),DE2,,https://www.focus.de/,Labeled as conservative.,,Germany,
Deutschlandfunk,News,National (Cologne),DEA,,https://www.deutschlandfunk.de/,,,Germany,
Der Freitag,News,National (Berlin),DE3,,https://www.freitag.de/,Labeled as centre-left.,,Germany,
Cicero,News,National (Berlin),DE3,,https://www.cicero.de/,Labeled as conservative. For several years now Cicero has been accused by various parties of having a right-wing bias.,,Germany,
Bild,News,National (Berlin),DE3,Tabloid,https://www.bild.de/,Labeled as conservative. Bild regularly attracts criticism for its crude over-simplification and sensationalism.,,Germany,
Berliner Zeitung,News,Regional (Berlin),DE3,,https://www.berliner-zeitung.de/,Labeled as centre-left.,,Germany,
Berliner Morgenpost,News,Regional (Berlin),DE3,,https://www.morgenpost.de/,Labeled as conservative.,,Germany,
Badische Zeitung,News,"Regional (Freiburg im Breisgau, Region Freiburg, Südlicher Breisgau, Kaiserstuhl/Breisgau West, Emmendingen/Kaiserstuhl, Elztal, Markgräflerland, Hochschwarzwald, Ortenau, Lörrach/Weil am Rhein, Rheinfelden/Wiesental, Bad Säckingen)",DE1,,https://www.badische-zeitung.de/,Christian newspaper. ,,Germany,
Süddeutsche Zeitung,News,National (Munich),DE2,,https://www.sueddeutsche.de/,"Labeled as centre-left, it is behind a paywall.",,Germany,
Der Tagesspiegel,News,Regional (Berlin),DE3,,https://www.tagesspiegel.de/,Labeled as liberal.,,Germany,
Die Tageszeitung,News,National (Berlin),DE3,,https://taz.de/,Labeled as left-wing.,,Germany,
Handelsblatt,News,National (Düsseldorf),DEA,,https://www.handelsblatt.com/,Labeled as liberal.,,Germany,
Deutschlandfunk Kultur,News,National (Berlin),DE3,,https://www.deutschlandfunkkultur.de/,,,Germany,
Aller-Zeitung,News,Regional (Gifhorn),DE9,,https://www.waz-online.de/,,,Germany,
Bayerische Staatszeitung,News,Regional (Bavaria),DE2,,https://www.bayerische-staatszeitung.de/staatszeitung.html#topPosition,,,Germany,
Weser Kurier,News,"Regional (Osterholz, Verden, Diepholz, Delmenhorst, Wesermarsch, Oldenburg, Rotenburg, Cuxhaven, Bremerhaven, Niedersachsen)",DE9; DE5,,https://www.weser-kurier.de/region/,,,Germany,
Hamburger Abendblatt,News,"Regional (Norderstedt, Ahrensburg, Harburg, Pinneberg)",DE6; DE9,,https://www.abendblatt.de/,,,Germany,
Hamburger Morgenpost,News,Regional (Hamburg),DE6,Tabloid,https://www.mopo.de/,,,Germany,
Leipziger Volkszeitung,News,"Regional (Leipzig, Thuringia)",DED; DEG,,https://www.lvz.de/,,,Germany,
Nürnberger Nachrichten,News,"Regional (Mittelfranken, Oberfrankens, Oberpfalz)",DE2,,https://www.nordbayern.de/,,,Germany,
Rhein-Zeitung,News,Regional (Koblenz),DEB,,http://www.rhein-zeitung.de/,,,Germany,
Rheinische Post,News,National (Düsseldorf),DEA,,https://rp-online.de/,,,Germany,
rbb24,News,"Both (Berlin, Brandenburg)",DE3; DE4,,https://www.rbb24.de/,,,Germany,
Tagesspiegel,News,"Regional (Berlin, Pottsdam-Mittelmark, Brandenburg)",DE3; DE4,,https://www.tagesspiegel.de/potsdam/brandenburg/,Wiki: Labeled as liberal and classified as centrist in the context of German politics. ,,Germany,https://en.wikipedia.org/wiki/Der_Tagesspiegel
Kreiszeitung,News,"Regional (Bremen, Verden, Oldenburg, Lower Saxony, Diepholz, Rotenburg, Nienburg, Schleswig-Holstein)",DE5; DE9; DEF,,https://www.kreiszeitung.de/,,,Germany,
t-online,News,"Regional (Berlin, Hamburg, München, Köln, Frankfurt)",DE2; DE3; DE4; DE6; DEA,,https://www.t-online.de/region/,,,Germany,
Wesser Report,News,Regional (Bremen),DE5,,https://weserreport.de/,,,Germany,
NDR,News,"Regional (Lower Saxony, Schleswig-Holstein, Mecklenburg-Vorpommern, Hamburg)",DE6; DE8; DE9; DEF,,https://www.ndr.de/nachrichten/info/index.html,,,Germany,
Nordkurier,News,Regional (Neubrandenburg),DE8,,https://www.nordkurier.de/,,,Germany,
SOL,News,Regional (Saarland),DEC,,https://www.sol.de/,,,Germany,
Sächsische,News,Regional (Dresden),DED,,https://www.saechsische.de/dresden,,,Germany,
MDR,News,"Both (Sachsen-Anhalt, Thüringen)",DEE; DEG,,https://www.mdr.de/nachrichten/index.html,,,Germany,
Mitteldeutsche Zeitung,News,Regional (Sachsen-Anhalt),DEE,,https://www.mz.de/mitteldeutschland/sachsen-anhalt,,,Germany,
Jydske Vestkysten,News,Regional (Esbjerg),DK03,,https://jv.dk/,Labeled as liberal-conservative.,,Denmark,
Kristeligt Dagblad,News,National (Copenhagen),DK01,,https://www.kristeligt-dagblad.dk/,Marked as Christian. Kristeligt Dagblad is widely perceived as a quality paper which dedicates plenty of space to cultural issues as well as analyses and background reports. ,,Denmark,
Weekendavisen,News,National (Copenhagen),DK01,,https://www.weekendavisen.dk/,Labeled as liberal.,,Denmark,
Jyllands-Posten,News,National (Aarhus),DK04,,https://jyllands-posten.dk/,Labeled as liberal-conservative.,,Denmark,
Information,News,National (Copenhagen),DK01,,https://www.eurotopics.net/en/148634/information,Labeled as left-wing.,,Denmark,
Børsen,News,National (Copenhagen),DK01,,https://borsen.dk/,Labeled as liberal.,,Denmark,
Der Nordschleswiger,News,Regional (Aabenraa),DK03,,https://www.nordschleswiger.dk/de,Aimed at the German language minority.,,Denmark,
Berlingske,News,National (Copenhagen),DK01,,https://www.berlingske.dk/,Labeled as liberal-conservative.,,Denmark,
Politiken,News,National (Copenhagen),DK01,,https://politiken.dk/,Labeled as centre-left.,,Denmark,
Århus Stiftstidende,News,Regional (Aarhus),DK04,,https://stiften.dk/,,,Denmark,
Bornholms Tidende,News,Regional (Bornholm),DK01,,https://tidende.dk/,,,Denmark,
The Copenhagen Post,News,National (Copenhagen),DK01,Tabloid,https://cphpost.dk/,,,Denmark,
Ekstra Bladet,News,National (Copenhagen),DK01,Tabloid,https://ekstrabladet.dk/,,,Denmark,
Fyens Stiftstidende,News,Regional (Funen),DK03,,https://fyens.dk/,,,Denmark,
Lolland-Falsters Folketidende,News,Regional (Guldborgsund; Lolland),DK02,,https://folketidende.dk/,,,Denmark,
Nordjyske Stiftstidende,News,Regional (Aalborg),DK05,,https://nordjyske.dk/,,,Denmark,
Sjællandske Nyheder,News,Regional (Sjælland),DK02,,https://www.sn.dk/,,,Denmark,
DR,News,"Both (Bornholm, Fyn, Vestjylland, Nordjylland, Hovedstaden, Sjælland, Trekantområdet, Østjylland)",DK01; DK02; DK03; DK04; DK05 ,,https://www.dr.dk/nyheder/regionale,,,Denmark,
Lääne Elu,News,Regional (Haapsalu),EE0,,https://online.le.ee/,,,Estonia,
Müürileht,News,National (Tallinn),EE0,,https://www.muurileht.ee/,Labeled as centre-left.,,Estonia,
Postimees,News,National (Tallinn),EE0,,https://www.postimees.ee/,Labeled as conservative.,,Estonia,
Õhtuleht,News,National (Tallinn),EE0,,https://www.ohtuleht.ee/,Labeled as liberal.,,Estonia,
Maaleht,News,National (Tallinn),EE0,,https://maaleht.delfi.ee/,Labeled as liberal-conservative.,,Estonia,
Sirp,News,National (Tallinn),EE0,,https://www.sirp.ee/,Labeled as centre-left.  It is financed by the state but is critical of the government.,,Estonia,
Eesti Rahvusringhääling,News,National (Tallinn),EE0,,https://www.err.ee/,"Labeled as liberal. Eesti Rahvusringhääling is under the control of a public body, the broadcast council. It is considered independent but is financed by the state.",,Estonia,
Eesti Ekspress,News,National (Tallinn),EE0,,https://ekspress.delfi.ee/,Labeled as liberal.,,Estonia,
Delfi,News,National (Tallinn),EE0,,https://www.delfi.ee/,"Labeled as liberal. Its content is easily digestible, sensationalist and aimed at getting as many clicks as possible.",,Estonia,
Äripäev,News,National (Tallinn),EE0,,https://www.aripaev.ee/,Labeled as liberal.,,Estonia,
Eesti Päevaleht,News,National (Tallinn),EE0,,https://epl.delfi.ee/,Labeled as centre-left.,,Estonia,
Delovye Vedomosti ,News,National (Tallinn),EE0,,https://www.dv.ee/,Russian language.,,Estonia,
Õpetajate Leht,News,National,EE0,,https://opleht.ee/,,,Estonia,
The Baltic Times,News,International,EE0,,https://www.baltictimes.com/,"Covers the latest political, economic, business, and cultural events in Estonia, Latvia and Lithuania.",,Estonia,
Wõrumaa Teataja,News,Regional (Võru),EE0,,https://vorumaateataja.ee/,,,Estonia,
To Kouti tis Pandoras,News,National (Athens),EL3,,https://www.koutipandoras.gr/,,,Greece,
Alfavita,News,National ,,,https://www.alfavita.gr/ekpaideysi,,,Greece,
Politicus,News,National,,,https://politicus.gr/,,,Greece,
Agonas tis Kritis,News,Regional (Chania),EL4,,https://agonaskritis.gr/,,,Greece,
Slpress,News,National,,,https://slpress.gr/,,,Greece,
Anametrisi,News,National (Athens),EL3,,https://anametrisi.gr/,,,Greece,
20/20,News,National,,,https://www.2020mag.gr/,,,Greece,
Documento,News,National (Athens),EL3,,https://www.documentonews.gr/,,,Greece,
Naftemporiki,News,National (Athens),EL3,,https://www.naftemporiki.gr/,Labeled as conservative.,,Greece,
Parallaxi,News,National (Thessaloniki),EL5,,https://parallaximag.gr/thessaloniki-news,,,Greece,
In.gr,News,National (Athens),EL3,,https://www.in.gr/,,,Greece,
Lifo,News,"Regional (Athens, Thessaloniki)",EL3; EL5,,https://www.lifo.gr/,,,Greece,
HuffPost,News,National (Athens),EL3,,https://www.huffingtonpost.gr/,Labeled as liberal. It's the Greek edition of the American Huffington Post.,,Greece,
Parapolitika,News,National (Athens),EL3,,https://www.parapolitika.gr/,,,Greece,
Athens Voice,News,National (Athens),EL3,,https://www.athensvoice.gr/,Labeled as liberal.,,Greece,
Iefimerida,News,National (Athens),EL3,,https://www.iefimerida.gr/,Labeled as liberal-conservative.,,Greece,
Newpost,News,National (Athens),EL3,,https://newpost.gr/,Labeled as centre-left.,,Greece,
Liberal,News,National,,,https://www.liberal.gr/,,,Greece,
MacroPolis,News,National (Athens),EL3,,https://www.macropolis.gr/,Labeled as liberal. ,,Greece,
Defend Democracy,News,National (Athens),EL3,,http://www.defenddemocracy.press/,Labeled as left-wing.,,Greece,
News247,News,National (Athens),EL3,,https://www.news247.gr/,Labeled as centre-left.,,Greece,
Imerodromos,News,National,,,https://www.eurotopics.net/en/183552/imerodromos,Labeled as left-wing.,,Greece,
Griechenland Zeitung,News,National,,,https://www.griechenland.net/,"German language newspaper, features news stories for German-speaking tourists and for people living in Greece who speak German.",,Greece,
Capital,News,National (Athens),EL3,,https://www.capital.gr/,Labeled as liberal. Capital is a leading news website that has an exclusive collaboration with the US business magazine Forbes and Bloomberg View.,,Greece,
Dromos tis Aristeras,News,National (Athens),EL3,,https://edromos.gr/,Labeled as left-wing.,,Greece,
TVXS,News,National (Athens),EL3,,https://tvxs.gr/,Labeled as centre-left.,,Greece,
To Vima,News,National (Athens),EL3,,https://www.tovima.gr/,Labeled as liberal.,,Greece,
The Press Project,News,National (Athens),EL3,,https://thepressproject.gr/,Labeled as left-wing.,,Greece,
Ta Nea,News,National (Athens),EL3,,https://www.tanea.gr/,Labeled as centre-left.,,Greece,
Proto Thema,News,National (Athens),EL3,,https://www.protothema.gr/,Labeled as liberal. The newspaper was accused of trying to improve the image of the neo-Nazi Golden Dawn party because in recent years it has published several articles that depict the party leadership and members as bourgeois citizens.,,Greece,
Protagon,News,National (Athens),EL3,,https://www.protagon.gr/,Labeled as liberal. ,,Greece,
Left.gr,News,National (Athens),EL3,A mouthpiece of the socialist party Syriza,https://left.gr/,Labeled as left-wing.,,Greece,
Kathimerini,News,National (Athens),EL3,,https://www.kathimerini.gr/,Labeled as liberal-conservative.,,Greece,
Imerisia,News,National (Athens),EL3,,https://www.imerisia.gr/,Labeled as liberal. ,,Greece,
Haniotika Nea,News,Regional (Chania),EL4,,https://www.haniotika-nea.gr/,Labeled as liberal.,,Greece,
Ethnos,News,National (Athens),EL3,Tabloid,https://www.ethnos.gr/,Labeled as centre-left.,,Greece,
Eleftheros Typos,News,National (Athens),EL3,Closely aligned with the conservative Nea Demokratia party.,https://eleftherostypos.gr/,Labeled as liberal-conservative.,,Greece,
